,schemeCode,schemeName
319,100414,Tata Hybrid Equity Fund- Regular Plan - Growth Option
320,100415,Tata Ethical Fund-Regular Plan - Growth Option
321,100415,Tata Ethical Fund Regular Plan  - Growth
322,100416,Tata Long Term Debt Fund - Regular Plan - Quarterly Dividend
323,100417,Tata Income Fund-Regular Plan - Half Yearly Payout of IDCW Option
324,100417,TATA Income Fund Regular Plan - Half Yearly Payout of Income Distribution cum capital withdrawal option
325,100417,Tata Income Fund - Regular Plan - Half Yearly Dividend
326,100418,Tata Income Fund -Regular Plan - Growth Option
327,100418,Tata Income Fund -Regular Plan  - Growth
328,100470,Franklin India Bluechip Fund-Dividend
329,100470,Franklin India BLUECHIP FUND - IDCW 
330,100471,Franklin India Bluechip Fund-Growth
331,100472,Franklin India PRIMA FUND - IDCW 
332,100472,Franklin India Prima Fund-Dividend
333,100473,Franklin India Prima Fund-Growth
334,100474,Tata India Tax Savings Fund- Regular Plan - Payout of IDCW Option
335,100474,TATA India Tax Savings Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 
336,100474,Tata ELSS Tax Saver Fund- Regular Plan - Payout of IDCW Option
337,100474,Tata India Tax Savings Fund-Dividend- Regular Plan
338,100475,Tata Large Cap Fund Regular Plan - Growth
339,100475,Tata Large Cap Fund -Regular Plan - Growth Option
340,100476,Taurus Starshare (Multi Cap)Fund - Regular Plan - Growth Option
341,100476,Taurus Flexi Cap Fund - Regular Plan - Growth 
342,100477,Taurus Discovery (Midcap) Fund - Regular Plan - Growth Option
343,100477,Taurus Mid Cap Fund - Regular Plan - Growth
344,100477,Taurus Discovery (Midcap) Fund - Regular Plan - Growth
345,100480,Taurus Taxshield - Regular Plan - Growth
346,100480,Taurus Tax Shield- Regular Plan - Growth Option
347,100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth
348,100481,Franklin India Balanced Fund-Growth
349,100482,Franklin India Balanced Fund-Div
350,100483,Franklin India Growth Fund
351,100484,Franklin India Index Fund- Nifty Plan - Growth
352,100484,Franklin India Index Fund- Nifty Plan - Dividend Plan
353,100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth
354,100485,Franklin India Govt.Sec. Fund-Composite Plan - Growth
355,100486,Franklin India Govt.Sec. Fund-Composite Plan - Dividend
356,100487,Franklin India Govt.Sec. Fund-Treasury Plan(Dividend Option)
357,100489,Franklin India Govt.Sec. Fund-Treasury Plan(Growth Option)
358,100490,Franklin India Govt.Sec. Fund-PF Plan - Growth
359,100491,Franklin India Govt.Sec. Fund-PF Plan - Dividend
360,100493,Franklin India Government Securities Fund - Growth
361,100494,Franklin India Government Securities Fund - IDCW 
362,100494,Franklin India Government Securities Fund - Quarterly Dividend
363,100495,Franklin India Govt.Sec. Fund-Long Term Plan - Bonus
364,100496,Templeton India Value Fund - Growth Plan
365,100497,Templeton India Value Fund - IDCW 
366,100497,Templeton India Value Fund - Dividend Plan
367,100498,Franklin India Dynamic Accrual Fund-Dividend
368,100498,Franklin India Dynamic Accrual Fund - IDCW 
369,100499,Franklin India Dynamic Accrual Fund-Growth
370,100501,Templeton India Liquid Fund-Growth
371,100503,Franklin India Low Duration Fund - Monthly - IDCW
372,100503,Franklin India Low Duration Fund -Monthly Dividend
373,100504,Franklin India Low Duration Fund - Quarterly - IDCW
374,100504,Franklin India Low Duration Fund-Quarterly Dividend
375,100505,Templeton Monthly Income Plan-Half Yearly Dividend
376,100506,Templeton Monthly Income Plan-Growth
377,100519,Franklin India Equity Fund - Dividend
378,100519,Franklin India Flexi Cap Fund - IDCW 
379,100519,Franklin India Flexi Cap Fund - Dividend
380,100520,Franklin India Equity Fund - Growth
381,100520,Franklin India Flexi Cap Fund - Growth
382,100521,Franklin India Technology Fund-Dividend
383,100521,Franklin India Technology Fund - IDCW 
384,100522,Franklin India Technology Fund-Growth
385,100523,Franklin FMCG Fund - Growth
386,100524,Franklin India Opportunities Fund - Dividend
387,100524,Franklin INDIA OPPORTUNITIES FUND - IDCW 
388,100525,Franklin India TAXSHIELD - IDCW 
389,100525,Franklin India Taxshield-Dividend
390,100525,Franklin India ELSS Tax Saver Fund - IDCW
391,100526,Franklin India Taxshield-Growth
392,100526,Franklin India ELSS Tax Saver Fund-Growth
393,100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW
394,100527,Franklin India Corporate Debt Fund - Annual Dividend
395,100528,Franklin India Corporate Debt Fund - Growth
396,100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW
397,100529,Franklin India Corporate Debt Fund - Monthly Dividend
398,100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW
399,100530,Franklin India Corporate Debt Fund - Quarterly Dividend
400,100531,Franklin India Corporate Debt Fund - Half Yearly Dividend
401,100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW
402,100532,Franklin India Corporate Debt Fund - Monthly Bonus
403,100535,Franklin India Pension Plan - IDCW 
404,100535,Franklin India Pension Plan-Dividend
405,100536,Franklin India Pension Plan-Growth
406,100537,Franklin India Liquid Fund - Regular Plan - Weekly Dividend
407,100537,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW
408,100538,Franklin India Liquid Fund - Regular Plan - Growth
409,100541,Franklin India Liquid Fund - Regular Plan - Daily - IDCW
410,100541,Franklin India Liquid Fund - Regular Plan - Daily Dividend
411,100542,Franklin India Liquid Fund - Liquid Plan - Weekly Dividend
412,100543,Franklin India Liquid Fund - Liquid Plan - Daily Dividend
413,100544,Franklin India Liquid Fund - Liquid Plan - Growth
414,100546,Franklin India Liquid Fund - Super Institutional Plan - Growth
415,100547,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW
416,100547,Franklin India Liquid Fund - Super Institutional Plan - Daily Dividend
417,100548,Franklin India Liquid Fund - Super Institutional Plan - Weekly Dividend
418,100548,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW
419,100549,Franklin India Equity Hybrid Fund - IDCW 
420,100549,Franklin India Equity Hybrid Fund - Dividend Plan
421,100550,Franklin India Equity Hybrid Fund - Growth Plan
422,100551,Templeton India Children’s Asset Plan-Education Plan
423,100552,Templeton India Children’s Asset Plan-Gift Plan - Growth
424,100553,Templeton India Children’s Asset Plan-Gift Plan - Dividend
425,100555,Franklin India Taxshield 96
426,100556,Franklin India Taxshield 97
427,100557,Franklin India Taxshield 98
428,100558,Franklin India Taxshield 99
429,100561,Templeton India Money Market Account - Bonus Plan
430,100563,DBS Chola Triple Ace-Regular -Cumulative
431,100567,DBS Chola Triple Ace-Regular - Quarterly Dividend
432,100569,DBS Chola Triple Ace-Semi Annual Dividend
433,100573,DBS Chola Triple Ace-Regular Bonus
434,100574,DBS Chola Freedom Income -Short Term Fund-Regular-Monthly Dividend
435,100575,DBS Chola Freedom Income -Short Term Fund-Regular - Cumulative
436,100576,DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan
437,100579,DBS Chola Gilt-Investment-Quarterly Dividend
438,100580,DBS Chola Gilt-Investment-Cumulative
439,100589,Canara Robeco Expo-Income Plan
440,100590,Canara Robeco Expo-Growth Plan
441,100593,Canara Robeco Equity Taxsaver Fund - Regular Plan - Dividend
442,100593,CANARA ROBECO EQUITY TAX SAVER FUND - REGULAR PLAN -IDCW (Payout)
443,100593,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN -IDCW (Payout)
444,100596,CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
445,100596,Canara Robeco Gilt Fund - Regular Plan - Dividend
446,100597,CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION
447,100597,Canara Robeco Gilt Fund - Regular Plan - Growth
448,100600,Canara Robeco Conservative Hybrid Fund - Regular Plan - Monthly Dividend
449,100600,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment)
450,100601,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION
451,100601,Canara Robeco Conservative Hybrid Fund - Regular Plan - Growth
452,100602,Sundaram Medium Term Bond Fund Regular Plan- Quarterly Income Distribution cum Capital Withdrawal (IDCW)
453,100602,Sundaram Medium Term Bond Fund -Qtrly Dividend
454,100603,Sundaram Medium Term Bond Fund - Regular Growth
455,100603,Sundaram Medium Term Bond Fund Regular Plan - Growth
456,100604,Sundaram Medium Term Bond Fund -Regular Bonus Option
457,100604,Sundaram Medium Term Bond Fund Regular Plan - Bonus
